name,usage
d,This medication is used for the short-term treatment of patients with trouble sleeping (insomnia). It is generally used for 7-10 days. It may help you fall asleep faster and decrease the number of times you awaken during the night. It may also help you sleep for a longer period of time. Quazepam belongs to a class of medications called benzodiazepines. It acts on your brain to produce a calming effect.
l.acidoph-b.long-l.plant-b.lac capsule,"Follow all directions on the product package. Refer to the label directions for your specific product to see if the dose should be swallowed whole, chewed, sprinkled onto food or mixed with liquid. If you are using the liquid form of this medication, carefully measure the dose using a special measuring device/spoon. Do not use a household spoon because you may not get the correct dose. If you have any questions, ask your doctor or pharmacist."
"l. acidophilus,casei,rhamnosus capsule,delayed release (enteric coated) (capsule,delayed (e.c.))","Follow all directions on the product package. Refer to the label directions for your specific product to see if the dose should be swallowed whole, chewed, sprinkled onto food or mixed with liquid. If you are using the liquid form of this medication, carefully measure the dose using a special measuring device/spoon. Do not use a household spoon because you may not get the correct dose. If you have any questions, ask your doctor or pharmacist."
o-cal prenatal,"This medication is a multivitamin product used to treat or prevent vitamin deficiency due to poor diet, certain illnesses, or during pregnancy. Vitamins are important building blocks of the body and help keep you in good health."
l.acidoph-b.lactis-b.longum capsule,"Follow all directions on the product package. Refer to the label directions for your specific product to see if the dose should be swallowed whole, chewed, sprinkled onto food or mixed with liquid. If you are using the liquid form of this medication, carefully measure the dose using a special measuring device/spoon. Do not use a household spoon because you may not get the correct dose. If you have any questions, ask your doctor or pharmacist."
dactinomycin vial,Dactinomycin is used to treat cancer. It works by slowing or stopping the growth of cancer cells.
vaxneuvance (pneumococcal 15-valent conjugate vaccine),"Vaxneuvance (pneumococcal 15-valent conjugate vaccine) is commonly given to help protect from the following serious infections caused by 15 types of pneumococcus, which is a kind of bacteria."
lazcluze (lazertinib),<span>Lazcluze (lazertinib) is commonly used to treat certain types of </span><span>non-small cell lung cancer (NSCLC)</span><span>.</span>
vazalore 81 mg capsule low dose aspirin (81 or less),"Aspirin is used to reduce fever and relieve mild to moderate pain from conditions such as muscle aches, toothaches, common cold, and headaches. It may also be used to reduce pain and swelling in conditions such as arthritis. Aspirin is known as a salicylate and a nonsteroidal anti-inflammatory drug (NSAID). It works by blocking a certain natural substance in your body to reduce pain and swelling. Consult your doctor before treating a child younger than 12 years.Your doctor may direct you to take a low dose of aspirin to prevent blood clots. This effect reduces the risk of stroke and heart attack. If you have recently had surgery on clogged arteries (such as bypass surgery, carotid endarterectomy, coronary stent), your doctor may direct you to use aspirin in low doses as a ""blood thinner"" to prevent blood clots."
vaxchora active component,"This vaccine is used to prevent cholera infection caused by a certain bacteria (V. cholerae). People can get infected by eating food or drinking water that has been contaminated. This vaccine is recommended for people who are traveling to areas where this infection is common. Cholera vaccine contains live bacteria that have been weakened. It works by causing the body to produce its own protection (antibodies) against the bacteria.Vaccines may not fully protect everyone who receives them. While traveling, you should still avoid contaminated food or water (such as by drinking only bottled or boiled water, eating only fully cooked food). Ask your health care professional for more details."
"vaseline jelly, topical skin protectants","This medication is used as a moisturizer to treat or prevent dry, rough, scaly, itchy skin and minor skin irritations (such as diaper rash, skin burns from radiation therapy). Emollients are substances that soften and moisturize the skin and decrease itching and flaking. Some products (such as zinc oxide, white petrolatum) are used mostly to protect the skin against irritation (such as from wetness).Dry skin is caused by a loss of water in the upper layer of the skin. Emollients/moisturizers work by forming an oily layer on the top of the skin that traps water in the skin. Petrolatum, lanolin, mineral oil and dimethicone are common emollients. Humectants, including glycerin, lecithin, and propylene glycol, draw water into the outer layer of skin. Many products also have ingredients that soften the horny substance (keratin) that holds the top layer of skin cells together (including urea, alpha hydroxy acids such as lactic/citric/glycolic acid, and allantoin). This helps the dead skin cells fall off, helps the skin keep in more water, and leaves the skin feeling smoother and softer."
vaxelis (pf) 15 unit-5 unit-10 mcg/0.5 ml intramuscular syringe diphtheria toxoid,"This medication is a combination of vaccines against diphtheria, tetanus (lockjaw), pertussis (whooping cough), polio, hepatitis B and Haemophilus influenzae B infection. Vaccination is the best way to protect against these life-threatening infections. Vaccines work by causing the body to produce its own protection (antibodies).This combination of vaccines is usually used in infants and children."
varubi,Rolapitant is used with other medications to help prevent delayed nausea and vomiting caused by cancer drug treatment (chemotherapy). It works by blocking one of the body's natural substances (substance P/neurokinin 1) that causes vomiting.This drug is not recommended for use in children younger than 2 years due to risk of serious side effects.
laxative pills tablet,"Sennosides are used to treat constipation. They may also be used to clean out the intestines before a bowel examination/surgery. Sennosides are known as stimulant laxatives. They work by keeping water in the intestines, which causes movement of the intestines."
vaxchora vaccine,"This vaccine is used to prevent cholera infection caused by a certain bacteria (V. cholerae). People can get infected by eating food or drinking water that has been contaminated. This vaccine is recommended for people who are traveling to areas where this infection is common. Cholera vaccine contains live bacteria that have been weakened. It works by causing the body to produce its own protection (antibodies) against the bacteria.Vaccines may not fully protect everyone who receives them. While traveling, you should still avoid contaminated food or water (such as by drinking only bottled or boiled water, eating only fully cooked food). Ask your health care professional for more details."
laxative maximum strength 25 mg tablet,"Sennosides are used to treat constipation. They may also be used to clean out the intestines before a bowel examination/surgery. Sennosides are known as stimulant laxatives. They work by keeping water in the intestines, which causes movement of the intestines."
laxative peg 3350 17 gram/dose oral powder,"This medication is used to treat occasional constipation. It works by holding water in the stool to soften the stool and increases the number of bowel movements. It is known as an osmotic-type laxative.This medication is also available without a prescription. If you are taking this medication for self-treatment, it is important to read the manufacturer's package instructions carefully so you know when to consult your doctor or pharmacist. (See also Precautions."
"lazanda aerosol, spray with pump","See also Warning section.This medication is used to help relieve sudden (breakthrough) cancer pain in people who are regularly taking moderate to large amounts of opioid pain medication. Fentanyl belongs to a class of drugs known as opioid analgesics. It works in the brain to change how your body feels and responds to pain.This medication should not be used to relieve mild or short-term pain (such as due to headache/migraine, dental procedures, surgery)."
vaseretic,"This medication is used to treat high blood pressure (hypertension). Lowering high blood pressure helps prevent strokes, heart attacks, and kidney problems. This product contains 2 medications, enalapril and hydrochlorothiazide. Enalapril belongs to a class of drugs known as ACE inhibitors. It works by relaxing blood vessels so that blood can flow through the body more easily. Hydrochlorothiazide is a ""water pill"" (diuretic) and causes your body to get rid of extra salt and water. This effect may increase the amount of urine you make when you first start the medication. It also helps to relax the blood vessels so that blood can flow through the body more easily."
laxative pills,"Sennosides are used to treat constipation. They may also be used to clean out the intestines before a bowel examination/surgery. Sennosides are known as stimulant laxatives. They work by keeping water in the intestines, which causes movement of the intestines."
laxative feminine 5 mg tablet,"Bisacodyl is used to treat constipation. It may also be used to clean out the intestines before a bowel examination/surgery. Bisacodyl is known as a stimulant laxative. It works by increasing the movement of the intestines, helping the stool to come out."
vascazen,"Omega-3 fatty acids are thought to help reduce the risk of heart disease. They have been used along with diet and exercise to help lower levels of a certain blood fat (triglyceride) and to raise levels of ""good"" cholesterol (HDL).Some supplement products have been found to contain possibly harmful impurities/additives. Check with your pharmacist for more details about the brand you use.The US Food and Drug Administration has not reviewed this product for safety or effectiveness. Consult your doctor or pharmacist for more details."
laxative (glycerin-pediatric) rectal suppository,"This product is used to relieve occasional constipation. Glycerin belongs to a class of drugs known as hyperosmotic laxatives. It works by drawing water into the intestines. This effect usually results in a bowel movement within 15 to 60 minutes.For adults, the normal frequency of bowel movements varies from once daily to 1 to 2 times weekly. For preschool-aged children, the normal frequency of bowel movements varies from once daily to once every other day. Constipation is best treated by drinking plenty of fluids, eating foods high in fiber, and exercising regularly."
laxative (bisacodyl) 10 mg rectal suppository,"This product is used to treat constipation. However, milder products (such as laxatives taken by mouth) should be used whenever possible for constipation. Bisacodyl is a stimulant laxative that works by increasing the amount of fluid/salts in the intestines. This effect usually results in a bowel movement within 15 to 60 minutes.The normal frequency of bowel movements varies from once daily to 1 to 2 times weekly. Constipation is best treated by drinking plenty of fluids (four to six 8-ounce glasses daily), eating foods high in fiber, and exercising regularly.This product is not recommended for use in children younger than 6 years unless directed by a doctor."
laxacin,"This product is used to treat constipation. It contains 2 medications: sennosides and docusate. Sennosides are known as stimulant laxatives. They work by keeping water in the intestines, which helps to cause movement of the intestines. Docusate is known as a stool softener. It helps increase the amount of water in the stool, making it softer and easier to pass."
varivax (varicella virus vaccine live),"<span style=""background-color:transparent;"">Varivax (varicella virus vaccine live) is commonly given to help prevent </span><span style=""background-color:transparent;""><u>chickenpox</u></span><span style=""background-color:transparent;"">, a very contagious infection caused by the varicella-zoster virus.  </span>"
varenicline,"<span style=""background-color:transparent;color:#000000;"">Varenicline is commonly used to help people </span><span style=""background-color:transparent;color:#0563c1;"">quit smoking</span><span style=""background-color:transparent;color:#000000;"">. </span>"
tazverik 200 mg tablet antineoplastic - protein methyltransferase (pmt) inhibitors,This medication is used to treat certain types of cancer (epithelioid sarcoma or follicular lymphoma). It works by slowing or stopping the growth of cancer cells.
tazorac gel,"This medication is used to treat certain skin conditions, including psoriasis and acne. Different brands, dosage forms, and strengths are approved for different uses, so be sure to check the uses for your brand, dosage form, and strength of this medication. Tazarotene is a retinoid product related to Vitamin A. It is thought to work by affecting skin cell growth. For the best effect, this medication should be used with a total skin care program."
taztia xt,"Diltiazem is used to treat high blood pressure (hypertension) and prevent chest pain (angina). Lowering high blood pressure helps prevent strokes, heart attacks, and kidney problems. When used regularly, diltiazem can decrease the number and severity of episodes of chest pain from angina. It may help increase your ability to exercise.Diltiazem is called a calcium channel blocker. It works by relaxing blood vessels in the body and heart so blood can flow more easily. Diltiazem also lowers your heart rate. These effects help the heart work less hard and lower blood pressure."
tazorac 0.05 % topical cream antipsoriatics,"This medication is used to treat certain skin conditions, including psoriasis, acne, and skin aging symptoms due to sun damage (such as wrinkles and dark or light spots on your face). Different brands and strengths are approved for different uses, so be sure to check the uses for your brand and strength of this medication. Tazarotene is a retinoid product related to Vitamin A. It is thought to work by affecting skin cell growth. For the best effect, this medication should be used with a total skin care program."
varizig vial,This medication is used to help provide protection (antibodies) against a certain virus infection (varicella zoster) commonly known as chickenpox. It is used by certain people who have not been vaccinated or had the infection before and have had recent contact with someone infected with chickenpox. This medication is made from healthy human blood that has high levels of a certain substance (varicella zoster antibodies) which helps fight the infection.Routine vaccination is usually the best way to protect against infection.
"varophen (diclofenac) 1.5 %-15 %-10 % kit, cream and solution non-steroidal anti-inflammatory agents (nsaid), topical","See also Warning section.This medication is used to treat arthritis of the knee(s). It reduces pain, swelling, and joint stiffness and helps to improve your ability to move and flex the joint. Diclofenac is known as a nonsteroidal anti-inflammatory drug (NSAID).If you are treating a chronic condition such as arthritis, ask your doctor about non-drug treatments and/or using other medications to treat your pain."
varicella-zoster i.glob-maltos solution,This medication is used to help provide protection (antibodies) against a certain virus infection (varicella zoster) commonly known as chickenpox. It is used by certain people who have not been vaccinated or had the infection before and have had recent contact with someone infected with chickenpox. This medication is made from healthy human blood that has high levels of a certain substance (varicella zoster antibodies) which helps fight the infection.Routine vaccination is usually the best way to protect against infection.
varicella-zoster ge-as01b (pf) suspension for reconstitution,"Read all vaccine information available from your health care professional before receiving the vaccine. If you have any questions, ask your health care professional."
vaqta syringe,"This vaccine is used to help prevent infection from the hepatitis A virus. Hepatitis A infection can be mild with no symptoms or a severe illness that can rarely cause liver failure and death. Preventing infection can prevent these problems.Hepatitis A vaccine is made from whole, killed hepatitis A virus. It does not contain live virus, so you cannot get hepatitis from the vaccine. This vaccine works by helping the body produce immunity (through antibody production) that will prevent you from getting infection from hepatitis A virus. Hepatitis A vaccine does not protect you from other virus infections (such as HIV virus, which causes AIDS; hepatitis B, hepatitis C or hepatitis E; HPV virus, which causes genital warts and other problems).The vaccine is recommended for people aged 12 months and older, especially those at an increased risk of getting the infection. Those at an increased risk include people who live with or spend much time with people with hepatitis A infections, institutional or daycare workers, lab workers, people with multiple sex partners, men who have sex with men, sex workers, injecting and non-injecting drug abusers, and people traveling to high-risk areas."
latanoprost,Latanoprost is commonly used to reduce increased pressure in the eye in people with either open-angle glaucoma or ocular hypertension.
"varicella-zoster ge vac,2 of 2 suspension for reconstitution","Read all vaccine information available from your health care professional before receiving the vaccine. If you have any questions, ask your health care professional."
lax stool softener with senna,"This product is used to treat constipation. It contains 2 medications: sennosides and docusate. Sennosides are known as stimulant laxatives. They work by keeping water in the intestines, which helps to cause movement of the intestines. Docusate is known as a stool softener. It helps increase the amount of water in the stool, making it softer and easier to pass."
latuda,"This medication is used to treat certain mental/mood disorders (such as schizophrenia, depression associated with bipolar disorder). Lurasidone belongs to a class of drugs known as atypical antipsychotics. It works by helping to restore the balance of certain natural substances in the brain."
lastacaft drops,This medication is used to prevent itching of the eyes due to allergies. Alcaftadine is an antihistamine. It works by blocking a certain natural substance (histamine) that causes allergic symptoms.Do not use this medication to treat red or irritated eyes due to wearing contact lenses. Contact your doctor for further instructions if this occurs.
tavneos (avacopan),"<span style=""background-color:transparent;color:#000000;"">Tavneos (avacopan) is commonly used to treat people with anti-neutrophil cytoplasmic antibody (ANCA)-associated </span><span style=""background-color:transparent;color:#0563c1;"">vasculitis</span><span style=""background-color:transparent;color:#000000;""> (AAV), which is a group of rare disorders that damage your blood vessels.</span>"
larotrectinib capsule,Larotrectinib is used to treat cancer. It works by slowing or stopping the growth of cancer cells.
laronidase 2.9 mg/5 ml intravenous solution,Laronidase is used to treat a certain rare genetic problem (mucopolysaccharidosis-MPS I). It works by replacing a certain natural substance (lysosomal enzyme) that is missing in people with this genetic problem. This medication improves lung function and how far you can walk. Laronidase is not a cure and treatment must be continued for life.
tazicef vial with threaded port,Ceftazidime is used to treat a wide variety of bacterial infections. This medication belongs to a class of drugs known as cephalosporin antibiotics. It works by stopping the growth of bacteria.
tazarotene cream,"This medication is used to treat certain skin conditions, including psoriasis, acne, and skin aging symptoms due to sun damage (such as wrinkles and dark or light spots on your face). Different brands and strengths are approved for different uses, so be sure to check the uses for your brand and strength of this medication. Tazarotene is a retinoid product related to Vitamin A. It is thought to work by affecting skin cell growth. For the best effect, this medication should be used with a total skin care program."
tazemetostat 200 mg tablet,This medication is used to treat certain types of cancer (epithelioid sarcoma or follicular lymphoma). It works by slowing or stopping the growth of cancer cells.
larin tablet,"This combination hormone medication is used to prevent pregnancy. It contains 2 hormones: a progestin and an estrogen.Besides preventing pregnancy, birth control pills may make your periods more regular, decrease blood loss and painful periods, decrease your risk of ovarian cysts, and also treat acne.Using this medication does not protect you or your partner against sexually transmitted diseases (such as HIV, gonorrhea, chlamydia)."
tazarotene 0.1 % topical foam acne products,"This medication is used to treat certain skin conditions, including psoriasis and acne. Different brands, dosage forms, and strengths are approved for different uses, so be sure to check the uses for your brand, dosage form, and strength of this medication. Tazarotene is a retinoid product related to Vitamin A. It is thought to work by affecting skin cell growth. For the best effect, this medication should be used with a total skin care program."
taytulla,"This combination hormone medication is used to prevent pregnancy. It contains 2 hormones: norethindrone (a progestin) and ethinyl estradiol (an estrogen). There is a small amount of iron (ferrous fumarate) in each of the 4 inactive pills taken during the fourth week. The inactive pills do not contain any hormones. These pills are meant to keep you in the habit of taking 1 pill each day and do not have enough iron to treat iron deficiency.Besides preventing pregnancy, birth control pills may make your periods more regular, decrease blood loss and painful periods, decrease your risk of ovarian cysts, and also treat acne.Using this medication does not protect you or your partner against sexually transmitted diseases (such as HIV, gonorrhea, chlamydia)."
taysofy 1 mg-20 mcg (24)/75 mg (4) capsule contraceptives,"This combination hormone medication is used to prevent pregnancy. It contains 2 hormones: norethindrone (a progestin) and ethinyl estradiol (an estrogen). There is a small amount of iron (ferrous fumarate) in each of the 4 inactive pills taken during the fourth week. The inactive pills do not contain any hormones. These pills are meant to keep you in the habit of taking 1 pill each day and do not have enough iron to treat iron deficiency.Besides preventing pregnancy, birth control pills may make your periods more regular, decrease blood loss and painful periods, decrease your risk of ovarian cysts, and also treat acne.Using this medication does not protect you or your partner against sexually transmitted diseases (such as HIV, gonorrhea, chlamydia)."
"taurolidine 13.5 mg in 1,000 unit/ml heparin intra-catheter solution",This combination medication is used to prevent blood infections caused by a tube (catheter) that is placed into a vein for dialysis. Taurolidine is an antimicrobial that decreases the amount of bacteria and fungus inside the catheter. Heparin is known as an anticoagulant. It helps keep blood flowing smoothly and from clotting in the catheter by making a certain natural substance in your body (anti-clotting protein) work better.This form of heparin must not be used to treat or prevent blood clots in the body.
"tasoprol 0.05 %-4"" x 4"" topical kit corticosteroids","This medication is used to treat a variety of skin conditions (such as eczema, psoriasis, dermatitis, allergies, rash). Clobetasol reduces the swelling, itching, and redness that can occur in these types of conditions. This medication is a very strong (super-high-potency) corticosteroid."
tazicef vial,Ceftazidime is used to treat a wide variety of bacterial infections. This medication belongs to a class of drugs known as cephalosporin antibiotics. It works by stopping the growth of bacteria.
tavaborole 5 % topical solution with applicator antifungals,"This medication is used to treat toenail infection caused by fungus. It works by stopping the growth of certain types of fungus. Tavaborole belongs to a class of drugs known as oxaborole antifungals.This medication treats only fungal infections. It will not work for other types of infection, such as those caused by bacteria. Unnecessary use or misuse of any drug used to treat infection can lead to its decreased effectiveness."
saxenda (liraglutide),"<span style=""background-color:transparent;color:#000000;"">Saxenda (liraglutide) is commonly used for long-term weight management in people who are </span><span style=""background-color:transparent;color:#1155cc;"">obese</span><span style=""background-color:transparent;color:#000000;""> or who are overweight with other health conditions, such as </span><span style=""background-color:transparent;color:#1155cc;"">high blood pressure</span><span style=""background-color:transparent;color:#000000;"">, </span><span style=""background-color:transparent;color:#1155cc;"">diabetes</span><span style=""background-color:transparent;color:#000000;"">, or </span><span style=""background-color:transparent;color:#1155cc;"">high cholesterol</span><span style=""background-color:transparent;color:#000000;"">.</span>"
vantas kit,"Histrelin is used to treat advanced prostate cancer. It is not a cure. Most types of prostate cancer need the hormone testosterone to grow and spread. Histrelin works by reducing the amount of testosterone that the body makes. This helps slow or stop the growth of cancer cells and helps relieve symptoms such as painful/difficult urination. Talk to your doctor about the risks and benefits of treatment.Histrelin is also used by children to treat early puberty (central precocious puberty). It helps to slow abnormally fast bone development so that height and growth rate are near normal and to stop or reverse signs of early puberty (such as breast/pubic hair growth in girls, pubic hair growth in boys). Histrelin works by reducing the amount of testosterone and estrogen. This medication is used until the doctor decides it is time for puberty to resume."
vanos 0.1 % topical cream corticosteroids,"This medication is used to treat a variety of skin conditions (such as eczema, dermatitis, psoriasis, allergies, rash). Fluocinonide reduces the swelling, itching, and redness that can occur in these types of conditions. This medication is a strong corticosteroid."
vanquish 227 mg-194 mg-33 mg tablet antiplatelet drugs-excluding asa 325 and below,"This product is a combination of aspirin, acetaminophen, and caffeine. It is used for the temporary relief of pain from conditions such as muscle aches, toothaches, menstrual cramps, or headaches (including migraine). Aspirin and acetaminophen relieve pain by keeping your body from making certain natural substances. Caffeine helps increase the effects of aspirin and acetaminophen."
saxagliptin,"<span style=""background-color:transparent;color:#000000;"">Saxagliptin is used with diet and exercise to help lower blood sugar levels in people with </span><span style=""background-color:transparent;color:#1155cc;"">type 2 diabetes</span><span style=""background-color:transparent;color:#000000;"">.</span>"
vaniqa cream,This medication is used to slow down the growth of unwanted hair on the face and under the chin in women. It should not be used for hair on other parts of the body. It blocks a certain natural substance (an enzyme) that is needed for hair growth in the skin. This effect slows hair growth and may also make the hair finer and lighter. It does not remove hair or cause the hair to fall out.This drug is not for use in children younger than 12 years.
vanicream hc 1 % topical corticosteroids,"This medication is used to treat a variety of skin conditions (such as eczema, dermatitis, allergies, rash). Hydrocortisone acetate reduces the swelling, itching, and redness that can occur in these types of conditions. This medication is a mild corticosteroid."
vanicream moisturizing lotion emollients,"This medication is used as a moisturizer to treat or prevent dry, rough, scaly, itchy skin and minor skin irritations (such as diaper rash, skin burns from radiation therapy). Emollients are substances that soften and moisturize the skin and decrease itching and flaking. Some products (such as zinc oxide, white petrolatum) are used mostly to protect the skin against irritation (such as from wetness).Dry skin is caused by a loss of water in the upper layer of the skin. Emollients/moisturizers work by forming an oily layer on the top of the skin that traps water in the skin. Petrolatum, lanolin, mineral oil and dimethicone are common emollients. Humectants, including glycerin, lecithin, and propylene glycol, draw water into the outer layer of skin. Many products also have ingredients that soften the horny substance (keratin) that holds the top layer of skin cells together (including urea, alpha hydroxy acids such as lactic/citric/glycolic acid, and allantoin). This helps the dead skin cells fall off, helps the skin keep in more water, and leaves the skin feeling smoother and softer."
"vanoxide-hc suspension, topical","This product is used to treat acne and oily skin. The product contains two ingredients, hydrocortisone and benzoyl peroxide. Hydrocortisone is a corticosteroid that acts to decrease the skin swelling that can occur with acne. Benzoyl peroxide works by reducing the amount of acne-causing bacteria. It also helps to heal pimples by causing the skin to dry and peel."
vanicream cream,"This medication is used as a moisturizer to treat or prevent dry, rough, scaly, itchy skin and minor skin irritations (such as diaper rash, skin burns from radiation therapy). Emollients are substances that soften and moisturize the skin and decrease itching and flaking. Some products (such as zinc oxide, white petrolatum) are used mostly to protect the skin against irritation (such as from wetness).Dry skin is caused by a loss of water in the upper layer of the skin. Emollients/moisturizers work by forming an oily layer on the top of the skin that traps water in the skin. Petrolatum, lanolin, mineral oil and dimethicone are common emollients. Humectants, including glycerin, lecithin, and propylene glycol, draw water into the outer layer of skin. Many products also have ingredients that soften the horny substance (keratin) that holds the top layer of skin cells together (including urea, alpha hydroxy acids such as lactic/citric/glycolic acid, and allantoin). This helps the dead skin cells fall off, helps the skin keep in more water, and leaves the skin feeling smoother and softer."
vanflyta 17.7 mg tablet antineoplastic - protein-tyrosine kinase inhibitors,Quizartinib is used to treat acute myeloid leukemia (AML). It works by slowing or stopping the growth of cancer cells.
"saxagliptin 5 mg-metformin er 500 mg tablet,extend release 24hr mp antihyperglycemic-dipeptidyl peptidase-4 (dpp-4) inhibitors","Saxagliptin/metformin is used with a proper diet and exercise program to control high blood sugar in people with type 2 diabetes. Controlling high blood sugar helps prevent kidney damage, blindness, nerve problems, loss of limbs, and sexual function problems. Proper control of diabetes may also lessen your risk of a heart attack or stroke.This product contains 2 medications: saxagliptin and metformin. Saxagliptin works by increasing levels of natural substances called incretins. Incretins help to control blood sugar by increasing insulin release, especially after a meal. They also decrease the amount of sugar your liver makes. Metformin lowers blood sugar by helping to restore your body's proper response to the insulin. It also decreases the amount of sugar that your liver makes and that your stomach/intestines absorb."
lanthanum carbonate (fosrenol),"<span style=""background-color:transparent;"">Lanthanum carbonate is commonly used to lower phosphorus levels in the blood if you have a condition called end-stage renal disease (ESRD). In ESRD, your kidneys can’t remove phosphorus as well as usual, so high levels of phosphorus can build up in the body. This can lead to problems, such as making the bones weaker.</span>"
larin fe tablet,"This combination hormone medication is used to prevent pregnancy. It contains 2 hormones: norethindrone (a progestin) and ethinyl estradiol (an estrogen). There is a small amount of iron (ferrous fumarate) in each of the 7 inactive tablets taken during the fourth week. The inactive pills do not contain any hormones. These tablets are meant to keep you in the habit of taking 1 tablet each day and do not have enough iron to treat iron deficiency.Besides preventing pregnancy, birth control pills may make your periods more regular, decrease blood loss and painful periods, decrease your risk of ovarian cysts, and also treat acne.Using this medication does not protect you or your partner against sexually transmitted diseases (such as HIV, gonorrhea, chlamydia)."
larin fe,"This combination hormone medication is used to prevent pregnancy. It contains 2 hormones: norethindrone (a progestin) and ethinyl estradiol (an estrogen). There is a small amount of iron (ferrous fumarate) in each of the 7 inactive tablets taken during the fourth week. The inactive pills do not contain any hormones. These tablets are meant to keep you in the habit of taking 1 tablet each day and do not have enough iron to treat iron deficiency.Besides preventing pregnancy, birth control pills may make your periods more regular, decrease blood loss and painful periods, decrease your risk of ovarian cysts, and also treat acne.Using this medication does not protect you or your partner against sexually transmitted diseases (such as HIV, gonorrhea, chlamydia)."
tarpeyo (budesonide),"<span style=""background-color:transparent;"">Tarpeyo (budesonide) is commonly used to protect kidney function in people with </span><span style=""background-color:transparent;""><u>primary immunoglobulin A nephropathy</u></span><span style=""background-color:transparent;""> (IgAN) who are at risk for their disease getting worse.</span>"
larin,"This combination hormone medication is used to prevent pregnancy. It contains 2 hormones: a progestin and an estrogen.Besides preventing pregnancy, birth control pills may make your periods more regular, decrease blood loss and painful periods, decrease your risk of ovarian cysts, and also treat acne.Using this medication does not protect you or your partner against sexually transmitted diseases (such as HIV, gonorrhea, chlamydia)."
